records/id,records/title,records/full-title,records/isActive,records/logoURL
31058,ΤΕΙ ΠΕΛ/ΝΗΣΟΥ,ΤΕΙ Πελοποννήσου,0,https://vaseis.iee.ihu.gr/logos/university/tei_pelloponisou.png
31064,ΤΕΙ ΙΟΝΙΩΝ ΝΗΣΩΝ,ΤΕΙ Ιονίων Νήσων,0,https://vaseis.iee.ihu.gr/logos/university/tei_ionion_nison.png
31086,ΤΕΙ ΗΠΕΙΡΟΥ,ΤΕΙ Ηπείρου,0,https://vaseis.iee.ihu.gr/logos/university/tei_ipeirou.png
33528,ΤΕΙ ΑΘΗΝΑΣ,ΤΕΙ Αθήνας,0,https://vaseis.iee.ihu.gr/logos/university/tei_athinas.png
33739,ΤΕΙ ΠΕΙΡΑΙΑ,ΤΕΙ Πειραιά,0,https://vaseis.iee.ihu.gr/logos/university/tei_peiraia.png
36603,ΣΤΥΑ,Σχολή Τεχνικών Υπαξιωματικών Αεροπορίας,0,https://vaseis.iee.ihu.gr/logos/university/stya.png
36715,ΣΥΔΕ,Σχολή Υπαξιωματικών Διοικητικών,0,https://vaseis.iee.ihu.gr/logos/university/syde.png
50302,ΠΑ.ΜΑΚ.,,,
61191,ΠΑΕΑ ΚΡΗΤΗΣ,,,
61330,ΠΑΝ. ΜΑΚ.,,,
