records/code,records/examType,records/specialCat,records/positions,records/admissions,records/baseFirst,records/baseLast,records/year,records/minimumBase
97,10% ΓΕΛ 2017 ΗΜΕΡΗΣΙΑ,10% ΓΕΛ ΓΕΝ. ΣΕΙΡΑ 2017,12,,13099,6278,2019,
97,10% ΓΕΛ 2018 ΗΜΕΡΗΣΙΑ,10% ΓΕΛ ΓΕΝ. ΣΕΙΡΑ 2018,18,,11613,9845,2019,
97,10% ΕΠΑΛ 2017 ΗΜΕΡΗΣΙΑ,10% ΕΠΑΛ ΓΕΝ. ΣΕΙΡΑ,3,,13790,3300,2019,
97,ΓΕΛ ΕΣΠΕΡΙΝΑ,ΓΕΛ ΓΕΝIKH ΣΕΙΡΑ ΕΣΠ.,3,,9380,2513,2019,
97,ΓΕΛ ΗΜΕΡΗΣΙΑ,ΓΕΛ ΓΕΝIKH ΣΕΙΡΑ ΗΜ.,272,,17436,9305,2019,
97,ΕΠΑΛ ΗΜΕΡΗΣΙΑ,ΕΠΑΛ ΓΕΝΙΚΗ ΣΕΙΡΑ ΗΜ.,33,,15855,1275,2019,
98,10% ΓΕΛ 2017 ΗΜΕΡΗΣΙΑ,10% ΓΕΛ ΓΕΝ. ΣΕΙΡΑ 2017,9,,11753,5889,2019,
98,10% ΓΕΛ 2018 ΗΜΕΡΗΣΙΑ,10% ΓΕΛ ΓΕΝ. ΣΕΙΡΑ 2018,13,,15007,9835,2019,
98,10% ΕΠΑΛ 2017 ΗΜΕΡΗΣΙΑ,10% ΕΠΑΛ ΓΕΝ. ΣΕΙΡΑ,2,,14795,14420,2019,
98,ΓΕΛ ΕΣΠΕΡΙΝΑ,ΓΕΛ ΓΕΝIKH ΣΕΙΡΑ ΕΣΠ.,2,,5646,5646,2019,
98,ΓΕΛ ΗΜΕΡΗΣΙΑ,ΓΕΛ ΓΕΝIKH ΣΕΙΡΑ ΗΜ.,195,,16695,10373,2019,
98,ΕΠΑΛ ΗΜΕΡΗΣΙΑ,ΕΠΑΛ ΓΕΝΙΚΗ ΣΕΙΡΑ ΗΜ.,24,,17655,8315,2019,
99,10% ΓΕΛ 2017 ΗΜΕΡΗΣΙΑ,10% ΓΕΛ ΓΕΝ. ΣΕΙΡΑ 2017,10,,13514,7188,2019,
99,10% ΓΕΛ 2018 ΗΜΕΡΗΣΙΑ,10% ΓΕΛ ΓΕΝ. ΣΕΙΡΑ 2018,15,,13965,10640,2019,
99,10% ΕΠΑΛ 2017 ΗΜΕΡΗΣΙΑ,10% ΕΠΑΛ ΓΕΝ. ΣΕΙΡΑ,3,,14020,12200,2019,
99,ΓΕΛ ΕΣΠΕΡΙΝΑ,ΓΕΛ ΓΕΝIKH ΣΕΙΡΑ ΕΣΠ.,3,,3025,2656,2019,
99,ΓΕΛ ΗΜΕΡΗΣΙΑ,ΓΕΛ ΓΕΝIKH ΣΕΙΡΑ ΗΜ.,224,,15778,11405,2019,
99,ΕΠΑΛ ΗΜΕΡΗΣΙΑ,ΕΠΑΛ ΓΕΝΙΚΗ ΣΕΙΡΑ ΗΜ.,28,,15280,9770,2019,
101,10% ΓΕΛ 2017 ΗΜΕΡΗΣΙΑ,10% ΓΕΛ ΓΕΝ. ΣΕΙΡΑ 2017,10,,16332,10636,2019,
101,10% ΓΕΛ 2018 ΗΜΕΡΗΣΙΑ,10% ΓΕΛ ΓΕΝ. ΣΕΙΡΑ 2018,14,,17076,11787,2019,
101,ΓΕΛ ΕΣΠΕΡΙΝΑ,ΓΕΛ ΓΕΝIKH ΣΕΙΡΑ ΕΣΠ.,2,,6937,6718,2019,
101,ΓΕΛ ΗΜΕΡΗΣΙΑ,ΓΕΛ ΓΕΝIKH ΣΕΙΡΑ ΗΜ.,215,,17110,8793,2019,
102,10% ΓΕΛ 2017 ΗΜΕΡΗΣΙΑ,10% ΓΕΛ ΓΕΝ. ΣΕΙΡΑ 2017,7,,16418,12478,2019,
102,10% ΓΕΛ 2018 ΗΜΕΡΗΣΙΑ,10% ΓΕΛ ΓΕΝ. ΣΕΙΡΑ 2018,11,,15646,12588,2019,
102,ΓΕΛ ΕΣΠΕΡΙΝΑ,ΓΕΛ ΓΕΝIKH ΣΕΙΡΑ ΕΣΠ.,2,,5937,5881,2019,
102,ΓΕΛ ΗΜΕΡΗΣΙΑ,ΓΕΛ ΓΕΝIKH ΣΕΙΡΑ ΗΜ.,162,,14612,10504,2019,
103,10% ΓΕΛ 2017 ΗΜΕΡΗΣΙΑ,10% ΓΕΛ ΓΕΝ. ΣΕΙΡΑ 2017,8,,14247,10445,2019,
103,10% ΓΕΛ 2018 ΗΜΕΡΗΣΙΑ,10% ΓΕΛ ΓΕΝ. ΣΕΙΡΑ 2018,13,,13841,11577,2019,
