records/code,records/examType,records/specialCat,records/positions,records/admissions,records/baseFirst,records/baseLast,records/year,records/minimumBase
97,"10% ΓΕΛ, ΕΠΑΛΒ 2012",10% ΓΕΝΙΚΗ  ΣΕΙΡΑ,23,,18453,14841,2013,
97,"ΓΕΛ, ΕΠΑΛΒ ΕΣΠΕΡΙΝΑ",90% ΓΕΝΙΚΗ  ΣΕΙΡΑ ΕΣΠΕΡΙΝΑ,2,,6380,6234,2013,
97,"ΓΕΛ, ΕΠΑΛΒ ΗΜΕΡΗΣΙΑ",90% ΓΕΝΙΚΗ  ΣΕΙΡΑ,207,,16008,12014,2013,
98,"10% ΓΕΛ, ΕΠΑΛΒ 2012",10% ΓΕΝΙΚΗ  ΣΕΙΡΑ,14,,14656,12539,2013,
98,"ΓΕΛ, ΕΠΑΛΒ ΕΣΠΕΡΙΝΑ",90% ΓΕΝΙΚΗ  ΣΕΙΡΑ ΕΣΠΕΡΙΝΑ,1,,5364,5364,2013,
98,"ΓΕΛ, ΕΠΑΛΒ ΗΜΕΡΗΣΙΑ",90% ΓΕΝΙΚΗ  ΣΕΙΡΑ,126,,13650,10732,2013,
99,"10% ΓΕΛ, ΕΠΑΛΒ 2012",10% ΓΕΝΙΚΗ  ΣΕΙΡΑ,16,,18067,13580,2013,
99,"ΓΕΛ, ΕΠΑΛΒ ΕΣΠΕΡΙΝΑ",90% ΓΕΝΙΚΗ  ΣΕΙΡΑ ΕΣΠΕΡΙΝΑ,2,,4421,4313,2013,
99,"ΓΕΛ, ΕΠΑΛΒ ΗΜΕΡΗΣΙΑ",90% ΓΕΝΙΚΗ  ΣΕΙΡΑ,144,,14309,10590,2013,
101,"10% ΓΕΛ, ΕΠΑΛΒ 2012",10% ΓΕΝΙΚΗ  ΣΕΙΡΑ,22,,16010,12106,2013,
101,"ΓΕΛ, ΕΠΑΛΒ ΕΣΠΕΡΙΝΑ",90% ΓΕΝΙΚΗ  ΣΕΙΡΑ ΕΣΠΕΡΙΝΑ,2,,8733,8394,2013,
101,"ΓΕΛ, ΕΠΑΛΒ ΗΜΕΡΗΣΙΑ",90% ΓΕΝΙΚΗ  ΣΕΙΡΑ,193,,16717,11196,2013,
102,"10% ΓΕΛ, ΕΠΑΛΒ 2012",10% ΓΕΝΙΚΗ  ΣΕΙΡΑ,15,,14895,13540,2013,
102,"ΓΕΛ, ΕΠΑΛΒ ΕΣΠΕΡΙΝΑ",90% ΓΕΝΙΚΗ  ΣΕΙΡΑ ΕΣΠΕΡΙΝΑ,2,,7590,7448,2013,
102,"ΓΕΛ, ΕΠΑΛΒ ΗΜΕΡΗΣΙΑ",90% ΓΕΝΙΚΗ  ΣΕΙΡΑ,135,,15858,13229,2013,
103,"10% ΓΕΛ, ΕΠΑΛΒ 2012",10% ΓΕΝΙΚΗ  ΣΕΙΡΑ,22,,15777,11839,2013,
103,"ΓΕΛ, ΕΠΑΛΒ ΕΣΠΕΡΙΝΑ",90% ΓΕΝΙΚΗ  ΣΕΙΡΑ ΕΣΠΕΡΙΝΑ,2,,10015,7857,2013,
103,"ΓΕΛ, ΕΠΑΛΒ ΗΜΕΡΗΣΙΑ",90% ΓΕΝΙΚΗ  ΣΕΙΡΑ,193,,16634,10933,2013,
104,"10% ΓΕΛ, ΕΠΑΛΒ 2012",10% ΓΕΝΙΚΗ  ΣΕΙΡΑ,13,,17122,12800,2013,
104,"ΓΕΛ, ΕΠΑΛΒ ΕΣΠΕΡΙΝΑ",90% ΓΕΝΙΚΗ  ΣΕΙΡΑ ΕΣΠΕΡΙΝΑ,1,,9531,9531,2013,
104,"ΓΕΛ, ΕΠΑΛΒ ΗΜΕΡΗΣΙΑ",90% ΓΕΝΙΚΗ  ΣΕΙΡΑ,112,,18033,13009,2013,
105,"10% ΓΕΛ, ΕΠΑΛΒ 2012",10% ΓΕΝΙΚΗ  ΣΕΙΡΑ,18,,13850,11925,2013,
105,"ΓΕΛ, ΕΠΑΛΒ ΕΣΠΕΡΙΝΑ",90% ΓΕΝΙΚΗ  ΣΕΙΡΑ ΕΣΠΕΡΙΝΑ,2,,8787,7982,2013,
105,"ΓΕΛ, ΕΠΑΛΒ ΗΜΕΡΗΣΙΑ",90% ΓΕΝΙΚΗ  ΣΕΙΡΑ,157,,15348,10981,2013,
106,"10% ΓΕΛ, ΕΠΑΛΒ 2012",10% ΓΕΝΙΚΗ  ΣΕΙΡΑ,17,,16952,14061,2013,
106,"ΓΕΛ, ΕΠΑΛΒ ΕΣΠΕΡΙΝΑ",90% ΓΕΝΙΚΗ  ΣΕΙΡΑ ΕΣΠΕΡΙΝΑ,2,,10762,8164,2013,
106,"ΓΕΛ, ΕΠΑΛΒ ΗΜΕΡΗΣΙΑ",90% ΓΕΝΙΚΗ  ΣΕΙΡΑ,153,,17956,14346,2013,
107,"10% ΓΕΛ, ΕΠΑΛΒ 2012",10% ΓΕΝΙΚΗ  ΣΕΙΡΑ,18,,15815,11239,2013,
107,"ΓΕΛ, ΕΠΑΛΒ ΕΣΠΕΡΙΝΑ",90% ΓΕΝΙΚΗ  ΣΕΙΡΑ ΕΣΠΕΡΙΝΑ,2,,9087,8169,2013,
107,"ΓΕΛ, ΕΠΑΛΒ ΗΜΕΡΗΣΙΑ",90% ΓΕΝΙΚΗ  ΣΕΙΡΑ,157,,15020,10232,2013,
108,"10% ΓΕΛ, ΕΠΑΛΒ 2012",10% ΓΕΝΙΚΗ  ΣΕΙΡΑ,17,,14178,12290,2013,
108,"ΓΕΛ, ΕΠΑΛΒ ΕΣΠΕΡΙΝΑ",90% ΓΕΝΙΚΗ  ΣΕΙΡΑ ΕΣΠΕΡΙΝΑ,2,,9114,8348,2013,
108,"ΓΕΛ, ΕΠΑΛΒ ΗΜΕΡΗΣΙΑ",90% ΓΕΝΙΚΗ  ΣΕΙΡΑ,153,,17290,12429,2013,
109,"10% ΓΕΛ, ΕΠΑΛΒ 2012",10% ΓΕΝΙΚΗ  ΣΕΙΡΑ,29,,19198,17444,2013,
109,"ΓΕΛ, ΕΠΑΛΒ ΕΣΠΕΡΙΝΑ",90% ΓΕΝΙΚΗ  ΣΕΙΡΑ ΕΣΠΕΡΙΝΑ,3,,9844,9345,2013,
109,"ΓΕΛ, ΕΠΑΛΒ ΗΜΕΡΗΣΙΑ",90% ΓΕΝΙΚΗ  ΣΕΙΡΑ,261,,19476,17314,2013,
110,"10% ΓΕΛ, ΕΠΑΛΒ 2012",10% ΓΕΝΙΚΗ  ΣΕΙΡΑ,18,,18297,16584,2013,
110,"ΓΕΛ, ΕΠΑΛΒ ΕΣΠΕΡΙΝΑ",90% ΓΕΝΙΚΗ  ΣΕΙΡΑ ΕΣΠΕΡΙΝΑ,2,,12854,11446,2013,
110,"ΓΕΛ, ΕΠΑΛΒ ΗΜΕΡΗΣΙΑ",90% ΓΕΝΙΚΗ  ΣΕΙΡΑ,162,,19472,16724,2013,
111,"10% ΓΕΛ, ΕΠΑΛΒ 2012",10% ΓΕΝΙΚΗ  ΣΕΙΡΑ,22,,19222,17522,2013,
111,"ΓΕΛ, ΕΠΑΛΒ ΕΣΠΕΡΙΝΑ",90% ΓΕΝΙΚΗ  ΣΕΙΡΑ ΕΣΠΕΡΙΝΑ,2,,14145,10709,2013,
111,"ΓΕΛ, ΕΠΑΛΒ ΗΜΕΡΗΣΙΑ",90% ΓΕΝΙΚΗ  ΣΕΙΡΑ,198,,19470,17375,2013,
112,"10% ΓΕΛ, ΕΠΑΛΒ 2012",10% ΓΕΝΙΚΗ  ΣΕΙΡΑ,16,,17959,16531,2013,
112,"ΓΕΛ, ΕΠΑΛΒ ΕΣΠΕΡΙΝΑ",90% ΓΕΝΙΚΗ  ΣΕΙΡΑ ΕΣΠΕΡΙΝΑ,2,,11393,11314,2013,
112,"ΓΕΛ, ΕΠΑΛΒ ΗΜΕΡΗΣΙΑ",90% ΓΕΝΙΚΗ  ΣΕΙΡΑ,144,,19294,16687,2013,
113,"10% ΓΕΛ, ΕΠΑΛΒ 2012",10% ΓΕΝΙΚΗ  ΣΕΙΡΑ,21,,19188,15378,2013,
113,"ΓΕΛ, ΕΠΑΛΒ ΕΣΠΕΡΙΝΑ",90% ΓΕΝΙΚΗ  ΣΕΙΡΑ ΕΣΠΕΡΙΝΑ,2,,8257,8056,2013,
113,"ΓΕΛ, ΕΠΑΛΒ ΗΜΕΡΗΣΙΑ",90% ΓΕΝΙΚΗ  ΣΕΙΡΑ,189,,19543,15911,2013,
114,"10% ΓΕΛ, ΕΠΑΛΒ 2012",10% ΓΕΝΙΚΗ  ΣΕΙΡΑ,21,,18358,13918,2013,
114,"ΓΕΛ, ΕΠΑΛΒ ΕΣΠΕΡΙΝΑ",90% ΓΕΝΙΚΗ  ΣΕΙΡΑ ΕΣΠΕΡΙΝΑ,2,,10739,9165,2013,
114,"ΓΕΛ, ΕΠΑΛΒ ΗΜΕΡΗΣΙΑ",90% ΓΕΝΙΚΗ  ΣΕΙΡΑ,189,,19041,14421,2013,
115,"10% ΓΕΛ, ΕΠΑΛΒ 2012",10% ΓΕΝΙΚΗ  ΣΕΙΡΑ,15,,18793,14313,2013,
115,"ΓΕΛ, ΕΠΑΛΒ ΕΣΠΕΡΙΝΑ",90% ΓΕΝΙΚΗ  ΣΕΙΡΑ ΕΣΠΕΡΙΝΑ,2,,7696,7196,2013,
